timestamp_ms,ear,pitch,yaw,roll,label
1776973337856,0.35624,-16.86994,-2.85139,-0.60158,Focused
1776973338002,0.32042,-9.50557,-1.36591,2.92331,Focused
1776973338114,0.35192,-9.71843,-4.67732,1.87710,Focused
1776973338222,0.09906,-9.63330,-2.40084,2.11369,Focused
1776973338332,0.17163,-10.27307,-3.04617,2.00573,Focused
1776973338440,0.25505,-10.32610,-4.68915,0.78762,Focused
1776973338552,0.27551,-11.17142,-5.25593,0.05459,Focused
1776973338663,0.30299,-10.37456,-5.50624,0.28461,Focused
1776973338772,0.28726,-11.12717,-3.56059,0.43869,Focused
1776973338881,0.31559,-12.25745,-3.15633,-0.68646,Focused
1776973338992,0.30740,-13.77584,-2.48498,-0.47827,Focused
1776973339099,0.26281,-9.59549,-2.91404,0.04307,Focused
1776973339224,0.29224,-17.21854,-1.32390,0.41144,Focused
1776973339333,0.27930,-3.70595,0.13995,0.03273,Focused
1776973339444,0.38604,-16.97019,-1.15283,-0.62698,Focused
1776973339551,0.26987,-9.78132,-2.47130,-0.23086,Focused
1776973339659,0.32575,-8.68488,-4.60908,0.89889,Focused
1776973339770,0.31654,-8.42812,-4.09320,1.16965,Focused
1776973339879,0.32262,-7.64084,-5.25849,-0.39615,Focused
1776973339989,0.34331,-9.93272,-7.62836,0.41200,Focused
1776973340097,0.33634,-6.81080,-9.07157,-0.32643,Focused
1776973340206,0.33700,-11.30047,-8.68322,-0.91110,Focused
1776973340316,0.29805,-12.58660,-11.05184,-3.59849,Focused
1776973340536,0.33595,-3.22033,-0.36625,0.48673,Focused
1776973340661,0.31044,-8.68063,-3.15379,2.28662,Focused
1776973340770,0.28964,-6.18369,-3.88475,1.18016,Focused
1776973340880,0.30199,-8.33285,0.46617,1.57611,Focused
1776973341004,0.32104,-12.02314,0.12473,-0.05950,Focused
1776973341112,0.31301,-13.16388,-1.69679,0.08390,Focused
1776973341222,0.32567,-15.37225,-2.63303,-0.64130,Focused
1776973341331,0.33803,-17.38615,-2.48089,-1.16681,Focused
1776973341441,0.32427,-16.62847,-2.81255,-0.74901,Focused
1776973341550,0.31904,-12.57222,-2.34525,-0.35085,Focused
1776973341659,0.33317,-11.49310,-2.44283,-0.22277,Focused
1776973341767,0.33110,-13.11667,-2.81406,-0.51332,Focused
1776973341876,0.31133,-15.07706,-1.07253,-0.62052,Focused
1776973341986,0.32987,-20.12173,-2.94543,-1.19310,Focused
1776973342093,0.33781,-22.15900,-3.44989,-0.80803,Focused
1776973342202,0.33017,-21.81322,-2.81435,-0.91332,Focused
1776973342313,0.37655,-19.72984,-2.45483,-0.09360,Focused
1776973342422,0.31917,-20.07576,-2.63861,-0.82112,Focused
1776973342531,0.30668,-20.44316,-1.30441,-0.76934,Focused
1776973342641,0.31000,-19.32726,0.06975,-0.33314,Focused
1776973342750,0.32316,-16.73236,0.90611,-0.30272,Focused
1776973342859,0.32206,-16.09488,0.01796,-1.02245,Focused
1776973342969,0.32312,-18.21899,-0.95571,-0.65443,Focused
1776973343078,0.31923,-17.56880,-1.28994,-0.46743,Focused
1776973343189,0.32484,-16.57584,-2.90360,-1.14365,Focused
1776973343313,0.31826,-16.52088,-2.83298,-1.08914,Focused
1776973343425,0.31216,-16.69737,-3.05606,-0.99551,Focused
1776973343534,0.31357,-17.32655,-2.57086,-0.89859,Focused
1776973343644,0.31392,-16.28784,-2.29285,-1.05961,Focused
1776973343754,0.31502,-16.47961,-2.43221,-1.23497,Focused
1776973343864,0.31811,-16.31447,-2.26429,-1.14714,Focused
1776973343973,0.32388,-16.10562,-2.21423,-1.01093,Focused
1776973344082,0.32363,-15.44917,-2.06608,-1.02796,Focused
1776973344193,0.32646,-14.71040,-2.03231,-1.14919,Focused
1776973344300,0.32933,-14.83055,-2.07845,-1.03619,Focused
1776973344410,0.33232,-14.05868,-2.14743,-1.68713,Focused
1776973344520,0.31845,-14.21315,-2.81736,-1.75510,Focused
1776973344628,0.32805,-12.48654,-2.85533,-1.79170,Focused
1776973344736,0.35096,-11.16586,-1.38588,-2.16850,Focused
1776973344849,0.34178,-11.07059,-1.72785,-1.97719,Focused
1776973344956,0.33719,-10.66864,-2.55504,-1.45402,Focused
1776973345097,0.31608,-9.14929,-4.40217,-1.15469,Focused
1776973345205,0.29510,-9.30026,-3.75672,-1.30562,Focused
1776973345314,0.30913,-13.22715,-3.30102,-2.05370,Focused
1776973345424,0.31965,-12.48691,-2.75685,-2.04118,Focused
1776973345532,0.30958,-14.22542,-4.33133,-2.05555,Focused
1776973345642,0.30519,-14.16326,-3.12455,-2.54250,Focused
1776973345750,0.28742,-13.07734,-3.98299,-2.91305,Focused
1776973345857,0.30196,-13.64035,-3.97639,-3.64005,Focused
1776973345982,0.30047,-14.09679,-3.34699,-3.38317,Focused
1776973346091,0.30676,-16.83919,-3.82521,-4.13055,Focused
1776973346199,0.30464,-16.92996,-3.48161,-4.09923,Focused
1776973346309,0.31013,-16.52150,-2.95538,-4.04523,Focused
1776973346419,0.30806,-16.56175,-2.88905,-4.06245,Focused
1776973346529,0.30472,-16.91236,-2.78747,-4.03212,Focused
1776973346641,0.30861,-16.51591,-2.60805,-4.06122,Focused
1776973346751,0.30755,-15.71766,-2.12522,-4.00638,Focused
1776973346860,0.32308,-14.36079,-1.58960,-2.84041,Focused
1776973346968,0.31926,-16.01889,-2.50488,-1.99209,Focused
1776973347079,0.31931,-16.03149,-2.41826,-1.86159,Focused
1776973347188,0.32669,-15.99676,-2.78710,-1.15678,Focused
1776973347296,0.32091,-16.05173,-2.98900,-0.95649,Focused
1776973347407,0.32262,-16.31171,-2.70343,-0.75815,Focused
1776973347516,0.32104,-15.43920,-2.53122,-0.71499,Focused
1776973347626,0.31241,-15.45666,-2.77589,-0.64489,Focused
1776973347735,0.31571,-14.41579,-2.81457,-0.83497,Focused
1776973347844,0.31260,-14.25975,-2.93957,-0.84597,Focused
1776973347952,0.30781,-14.49374,-3.04036,-1.14630,Focused
1776973348062,0.31426,-14.40684,-3.09298,-1.30015,Focused
